student_id,class_id,school_id,county_id,gender,sibling_num,mo_edu,fa_edu,sr_w_m,sr_w_f,sr_w_sib,sr_w_grand,sr_w_othre,sr_w_othnon,boarding,grade9,relationshi,frequency,living_area,pr_w_m,pr_w_f,pr_w_sib,pr_w_grand,pr_w_othre,pr_w_othnon,left_behind,participation_level,mo_code,fa_code,parent_code,parent_edu_l,parent_edu_m,parent_edu_h,female,has_siblings,urbanicity_level,standard_living
16,1,1,1,male,3,Technical secondary school or technical school,Technical secondary school or technical school,1,1,1,0,0,0,0,0,Biological mother,Once every half year,Rural area,1,1,1,0,0,0,0,moderate,2,2,2,0,1,0,0,1,rural,1
20,1,1,1,male,0,Bachelor degree,Junior college,1,1,0,1,0,0,0,0,Biological father,Once a year,Central area of the city/county,1,1,0,1,0,0,0,low,3,3,3,0,0,1,0,0,urban_core,1
25,1,1,1,male,1,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological father,Never,Outskirts of the city/county,1,1,0,0,0,0,1,low,1,1,1,1,0,0,0,1,semi_urban,1
26,1,1,1,female,1,Bachelor degree,Junior college,1,1,1,0,0,0,0,0,Biological father,Once every half year,Central area of the city/county,1,1,1,0,0,0,0,moderate,3,3,3,0,0,1,1,1,urban_core,1
27,1,1,1,female,0,Bachelor degree,Senior high school,1,1,0,0,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,high,3,2,3,0,0,1,1,0,urban_core,1
28,1,1,1,female,0,Senior high school,Junior high school,1,1,0,1,0,0,0,0,Biological father,Once a year,Outskirts of the city/county,1,1,0,1,0,0,0,low,2,1,2,0,1,0,1,0,semi_urban,1
30,1,1,1,male,0,Junior college,Vocational high school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,2,3,0,0,1,0,0,urban_core,1
31,1,1,1,male,0,Junior college,Senior high school,1,1,0,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,2,3,0,0,1,0,0,urban_core,1
32,1,1,1,male,0,Junior college,Junior college,1,0,0,0,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,0,0,0,0,0,0,high,3,3,3,0,0,1,0,0,urban_core,0
34,2,1,1,male,0,Junior college,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,0,0,urban_core,1
36,2,1,1,female,1,Senior high school,Junior college,1,1,1,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,1,0,0,0,0,low,2,3,3,0,0,1,1,1,urban_core,1
38,2,1,1,female,0,Technical secondary school or technical school,Bachelor degree,1,1,0,0,0,0,0,0,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,moderate,2,3,3,0,0,1,1,0,semi_urban,1
39,2,1,1,male,1,Technical secondary school or technical school,Technical secondary school or technical school,1,1,1,0,0,0,0,0,Biological father,More than once a week,Central area of the city/county,1,1,1,0,0,0,0,high,2,2,2,0,1,0,0,1,urban_core,1
41,2,1,1,female,0,Senior high school,Senior high school,1,1,0,0,0,0,0,0,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,moderate,2,2,2,0,1,0,1,0,semi_urban,1
42,2,1,1,female,0,Junior college,Bachelor degree,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,1,0,semi_urban,1
43,2,1,1,male,0,None,None,1,1,0,0,0,0,0,0,Biological mother,Never,Central area of the city/county,1,1,0,0,0,0,0,low,1,1,1,1,0,0,0,0,urban_core,1
44,2,1,1,female,2,Junior high school,Senior high school,1,0,0,0,0,0,0,0,Biological mother,Never,Central area of the city/county,1,0,0,0,0,0,2,low,1,2,2,0,1,0,1,1,urban_core,0
48,2,1,1,female,0,Technical secondary school or technical school,Junior college,1,1,0,1,0,0,0,0,Biological mother,Once a year,Outskirts of the city/county,1,1,0,1,0,0,0,low,2,3,3,0,0,1,1,0,semi_urban,1
49,2,1,1,male,0,Technical secondary school or technical school,Senior high school,1,1,0,1,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,1,0,0,0,low,2,2,2,0,1,0,0,0,urban_core,1
53,2,1,1,female,3,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,1,moderate,1,1,1,1,0,0,1,1,urban_core,1
54,2,1,1,female,0,Technical secondary school or technical school,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,2,3,3,0,0,1,1,0,urban_core,1
56,2,1,1,female,0,Technical secondary school or technical school,Technical secondary school or technical school,1,1,0,0,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,high,2,2,2,0,1,0,1,0,urban_core,1
57,2,1,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,0,0,urban_core,1
60,2,1,1,female,0,Bachelor degree,Bachelor degree,0,1,0,0,0,0,0,0,Biological father,Once a week,Central area of the city/county,0,1,0,0,0,0,0,high,3,3,3,0,0,1,1,0,urban_core,0
61,2,1,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,0,Biological mother,Never,Rural area,1,1,1,0,0,0,0,low,1,1,1,1,0,0,1,1,rural,1
63,2,1,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,0,Biological mother,More than once a week,Central area of the city/county,1,1,1,0,0,0,0,high,1,1,1,1,0,0,1,1,urban_core,1
64,2,1,1,male,0,Bachelor degree,Master degree or higher,1,1,0,1,0,0,0,0,Grandfather on mother's/father's side,Once every half year,Outskirts of the city/county,1,1,0,1,0,0,0,moderate,3,3,3,0,0,1,0,0,semi_urban,1
68,3,1,1,male,0,Junior college,Senior high school,1,1,0,0,0,0,0,1,Biological mother,Once a year,Outskirts of the city/county,1,1,0,0,0,0,0,low,3,2,3,0,0,1,0,0,semi_urban,1
70,3,1,1,female,0,Technical secondary school or technical school,Senior high school,1,1,0,0,0,0,0,1,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,high,2,2,2,0,1,0,1,0,urban_core,1
74,3,1,1,female,0,Junior college,Bachelor degree,1,1,0,1,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,moderate,3,3,3,0,0,1,1,0,urban_core,1
78,3,1,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,1,0,0,0,0,moderate,1,1,1,1,0,0,1,1,urban_core,1
85,3,1,1,female,0,Junior high school,Junior high school,1,1,0,1,0,0,0,1,Biological mother,Once a year,Rural area,1,1,0,1,0,0,0,low,1,1,1,1,0,0,1,0,rural,1
91,3,1,1,female,0,Senior high school,Junior college,1,1,0,0,0,0,0,1,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,moderate,2,3,3,0,0,1,1,0,semi_urban,1
92,4,1,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,1,Biological father,Once a month,Outskirts of the city/county,1,1,1,0,0,0,0,high,1,1,1,1,0,0,1,1,semi_urban,1
95,4,1,1,male,0,Bachelor degree,Bachelor degree,1,1,0,1,0,0,0,1,Biological mother,Never,Outskirts of the city/county,1,1,0,1,0,0,0,low,3,3,3,0,0,1,0,0,semi_urban,1
96,4,1,1,female,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,1,Biological mother,Never,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,1,0,urban_core,1
97,4,1,1,male,0,Junior high school,Junior high school,1,1,0,0,0,0,0,1,Biological father,Never,Rural area,1,1,0,0,0,0,0,low,1,1,1,1,0,0,0,0,rural,1
99,4,1,1,female,0,Senior high school,Senior high school,1,1,0,1,0,0,0,1,Biological father,Once a month,Central area of the city/county,1,1,0,1,0,0,0,high,2,2,2,0,1,0,1,0,urban_core,1
100,4,1,1,male,0,Senior high school,Senior high school,1,1,0,0,0,0,0,1,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,moderate,2,2,2,0,1,0,0,0,semi_urban,1
104,4,1,1,male,0,Junior high school,Senior high school,1,1,0,1,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,moderate,1,2,2,0,1,0,0,0,urban_core,1
107,4,1,1,female,0,Technical secondary school or technical school,Technical secondary school or technical school,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,2,2,2,0,1,0,1,0,urban_core,1
108,4,1,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,0,0,semi_urban,1
109,4,1,1,male,0,Technical secondary school or technical school,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,high,2,3,3,0,0,1,0,0,urban_core,1
112,4,1,1,male,0,Senior high school,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,2,3,3,0,0,1,0,0,urban_core,1
114,4,1,1,female,0,Bachelor degree,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,1,0,urban_core,1
115,4,1,1,female,0,Bachelor degree,Master degree or higher,1,1,0,1,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,moderate,3,3,3,0,0,1,1,0,urban_core,1
120,5,2,1,female,0,Senior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,2,1,2,0,1,0,1,0,urban_core,1
122,5,2,1,male,1,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological father,Once a year,Central area of the city/county,1,1,0,0,0,0,1,low,1,1,1,1,0,0,0,1,urban_core,1
124,5,2,1,male,1,Technical secondary school or technical school,Senior high school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,2,2,2,0,1,0,0,1,urban_core,1
125,5,2,1,male,1,Junior high school,Senior high school,1,1,1,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,1,0,0,0,1,low,1,2,2,0,1,0,0,1,urban_core,1
126,5,2,1,female,0,Bachelor degree,Bachelor degree,1,0,0,1,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,1,0,0,1,0,0,0,moderate,3,3,3,0,0,1,1,0,semi_urban,0
136,5,2,1,female,0,Finished elementary school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Never,Outskirts of the city/county,1,1,0,0,0,0,0,low,1,1,1,1,0,0,1,0,semi_urban,1
138,5,2,1,female,0,Junior college,Junior college,1,1,0,1,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,1,0,0,0,low,3,3,3,0,0,1,1,0,urban_core,1
146,5,2,1,female,0,Technical secondary school or technical school,Junior college,1,1,0,1,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,1,0,1,0,0,0,high,2,3,3,0,0,1,1,0,urban_core,1
150,5,2,1,female,0,Junior college,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,1,0,urban_core,1
153,5,2,1,female,0,Master degree or higher,Junior college,1,1,0,1,0,0,0,0,Biological mother,More than once a week,Central area of the city/county,1,1,0,1,0,0,0,high,3,3,3,0,0,1,1,0,urban_core,1
155,5,2,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,0,0,semi_urban,1
156,5,2,1,male,3,Bachelor degree,Bachelor degree,1,1,0,1,0,0,0,0,Biological mother,Never,Outskirts of the city/county,1,1,0,1,0,0,0,low,3,3,3,0,0,1,0,1,semi_urban,1
157,5,2,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological father,Never,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,0,0,urban_core,1
158,5,2,1,female,0,Master degree or higher,Bachelor degree,1,0,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,0,0,0,0,0,0,moderate,3,3,3,0,0,1,1,0,urban_core,0
161,5,2,1,female,0,Junior high school,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,1,3,3,0,0,1,1,0,urban_core,1
163,6,2,1,female,0,Bachelor degree,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,1,0,semi_urban,1
165,6,2,1,male,0,Junior college,Junior college,1,1,0,0,0,0,0,0,Biological mother,Never,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,0,0,urban_core,1
167,6,2,1,male,0,Bachelor degree,Master degree or higher,1,1,0,1,0,0,0,0,Biological father,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,moderate,3,3,3,0,0,1,0,0,urban_core,1
170,6,2,1,male,0,Senior high school,Junior college,1,1,0,1,0,0,0,0,Biological father,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,moderate,2,3,3,0,0,1,0,0,urban_core,1
172,6,2,1,female,0,Bachelor degree,Junior college,1,1,0,0,0,0,0,0,Biological father,Never,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,1,0,urban_core,1
175,6,2,1,female,0,Senior high school,Technical secondary school or technical school,1,1,0,1,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,1,0,0,0,moderate,2,2,2,0,1,0,1,0,semi_urban,1
177,6,2,1,male,0,Junior college,Bachelor degree,1,1,0,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,0,0,urban_core,1
178,6,2,1,female,0,Junior college,Technical secondary school or technical school,1,1,0,0,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,high,3,2,3,0,0,1,1,0,urban_core,1
179,6,2,1,male,2,Junior high school,Junior college,1,1,1,0,0,0,0,0,Biological mother,Never,Central area of the city/county,1,1,1,0,0,0,0,low,1,3,3,0,0,1,0,1,urban_core,1
181,6,2,1,female,1,Junior high school,Junior high school,1,1,1,0,1,0,0,0,Biological father,Once a year,Central area of the city/county,1,1,1,0,1,0,0,low,1,1,1,1,0,0,1,1,urban_core,1
182,6,2,1,male,1,Senior high school,Junior college,1,1,1,0,0,0,0,0,Biological mother,More than once a week,Outskirts of the city/county,1,1,1,0,0,0,0,high,2,3,3,0,0,1,0,1,semi_urban,1
184,6,2,1,female,0,Bachelor degree,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,high,3,3,3,0,0,1,1,0,urban_core,1
185,6,2,1,female,0,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,More than once a week,Central area of the city/county,1,1,0,0,0,0,0,high,1,1,1,1,0,0,1,0,urban_core,1
186,6,2,1,female,0,Bachelor degree,Master degree or higher,1,1,0,0,0,0,0,0,Biological father,Once a month,Central area of the city/county,1,1,0,0,0,0,0,high,3,3,3,0,0,1,1,0,urban_core,1
187,6,2,1,male,1,Master degree or higher,Master degree or higher,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,0,1,urban_core,1
190,6,2,1,female,0,Senior high school,Senior high school,1,1,0,0,0,0,0,0,Biological father,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,2,2,2,0,1,0,1,0,urban_core,1
194,6,2,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,0,Biological mother,Never,Central area of the city/county,1,1,1,0,0,0,0,low,1,1,1,1,0,0,1,1,urban_core,1
197,6,2,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,0,0,urban_core,1
201,6,2,1,female,0,Master degree or higher,Master degree or higher,1,1,0,0,0,0,0,0,Biological father,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,1,0,urban_core,1
202,6,2,1,male,0,Bachelor degree,Bachelor degree,1,1,0,1,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,moderate,3,3,3,0,0,1,0,0,urban_core,1
204,6,2,1,male,0,Junior high school,Bachelor degree,0,1,0,0,0,0,1,0,Biological father,More than once a week,Central area of the city/county,0,1,0,0,0,0,0,high,1,3,3,0,0,1,0,0,urban_core,0
205,6,2,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological father,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,0,0,urban_core,1
206,7,2,1,male,0,Junior college,Bachelor degree,0,1,0,0,0,0,0,1,Biological father,More than once a week,Central area of the city/county,0,1,0,0,0,0,0,high,3,3,3,0,0,1,0,0,urban_core,0
210,7,2,1,female,0,Junior college,Bachelor degree,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,1,0,urban_core,1
211,7,2,1,female,2,Bachelor degree,Junior high school,1,1,1,1,0,0,0,1,Biological father,More than once a week,Central area of the city/county,1,1,1,1,0,0,0,high,3,1,3,0,0,1,1,1,urban_core,1
212,7,2,1,female,0,Junior high school,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,1,3,3,0,0,1,1,0,urban_core,1
214,7,2,1,female,0,Junior high school,Junior high school,1,1,0,0,0,0,0,1,Biological mother,More than once a week,Outskirts of the city/county,1,1,0,0,0,0,0,high,1,1,1,1,0,0,1,0,semi_urban,1
217,7,2,1,male,0,Bachelor degree,Vocational high school,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,2,3,0,0,1,0,0,urban_core,1
218,7,2,1,female,0,Junior college,Junior college,1,1,0,0,0,0,0,1,Biological father,More than once a week,Central area of the city/county,1,1,0,0,0,0,0,high,3,3,3,0,0,1,1,0,urban_core,1
219,7,2,1,female,1,Senior high school,Senior high school,1,1,1,0,0,0,0,1,Biological father,Once a week,Central area of the city/county,1,1,1,0,0,0,0,high,2,2,2,0,1,0,1,1,urban_core,1
220,7,2,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,0,0,urban_core,1
221,7,2,1,female,0,Junior college,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,1,0,urban_core,1
223,7,2,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,1,Biological father,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,0,0,urban_core,1
225,7,2,1,female,0,Bachelor degree,Master degree or higher,1,1,0,1,0,0,0,1,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,1,0,0,0,moderate,3,3,3,0,0,1,1,0,semi_urban,1
228,7,2,1,male,0,Bachelor degree,Master degree or higher,1,1,0,0,0,0,0,1,Biological father,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,0,0,urban_core,1
230,7,2,1,male,0,Junior college,Junior college,1,1,0,1,0,0,0,1,Biological mother,Once a year,Rural area,1,1,0,1,0,0,0,low,3,3,3,0,0,1,0,0,rural,1
232,7,2,1,male,1,Junior high school,Senior high school,1,1,1,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,1,0,0,0,0,moderate,1,2,2,0,1,0,0,1,urban_core,1
233,7,2,1,female,0,Senior high school,Bachelor degree,1,1,0,0,0,0,0,1,Biological mother,Never,Central area of the city/county,1,1,0,0,0,0,0,low,2,3,3,0,0,1,1,0,urban_core,1
234,7,2,1,female,0,Bachelor degree,Bachelor degree,1,1,0,1,0,0,1,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,moderate,3,3,3,0,0,1,1,0,urban_core,1
236,7,2,1,male,0,Junior college,Master degree or higher,1,1,0,0,0,0,0,1,Biological mother,Never,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,0,0,urban_core,1
238,7,2,1,female,0,Junior college,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,1,0,urban_core,1
239,7,2,1,female,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,1,Biological mother,Once a year,Outskirts of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,1,0,semi_urban,1
242,7,2,1,female,0,Junior college,Junior college,1,1,0,0,0,0,0,1,Biological father,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,1,0,urban_core,1
244,7,2,1,female,0,Bachelor degree,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,1,0,urban_core,1
248,7,2,1,female,0,Bachelor degree,Bachelor degree,1,0,0,0,0,0,0,1,Biological mother,Never,Central area of the city/county,1,0,0,0,0,0,0,low,3,3,3,0,0,1,1,0,urban_core,0
249,7,2,1,male,0,Bachelor degree,Master degree or higher,1,1,0,0,0,0,0,1,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,0,0,urban_core,1
251,7,2,1,female,0,Junior high school,Junior high school,1,1,0,1,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,moderate,1,1,1,1,0,0,1,0,urban_core,1
252,7,2,1,female,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,1,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,moderate,3,3,3,0,0,1,1,0,semi_urban,1
253,7,2,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,1,Biological mother,Never,Outskirts of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,0,0,semi_urban,1
258,8,2,1,female,0,Bachelor degree,Bachelor degree,1,1,0,1,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,moderate,3,3,3,0,0,1,1,0,urban_core,1
259,8,2,1,female,1,Senior high school,Senior high school,1,1,1,0,0,0,0,1,Biological father,Once a month,Central area of the city/county,1,1,1,0,0,0,0,high,2,2,2,0,1,0,1,1,urban_core,1
261,8,2,1,female,0,Senior high school,Bachelor degree,1,0,0,0,0,0,0,1,Biological mother,More than once a week,Central area of the city/county,1,0,0,0,0,0,0,high,2,3,3,0,0,1,1,0,urban_core,0
265,8,2,1,female,0,Technical secondary school or technical school,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,2,3,3,0,0,1,1,0,urban_core,1
266,8,2,1,female,0,Junior college,Junior college,1,1,0,0,0,0,0,1,Biological mother,More than once a week,Central area of the city/county,1,1,0,0,0,0,0,high,3,3,3,0,0,1,1,0,urban_core,1
267,8,2,1,female,0,Junior college,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,3,3,3,0,0,1,1,0,urban_core,1
271,8,2,1,female,0,Technical secondary school or technical school,Technical secondary school or technical school,1,1,0,0,0,0,0,1,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,2,2,2,0,1,0,1,0,urban_core,1
272,8,2,1,female,0,Technical secondary school or technical school,Junior college,1,1,0,0,0,0,0,1,Biological father,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,2,3,3,0,0,1,1,0,urban_core,1
273,8,2,1,male,0,Junior high school,Junior high school,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,moderate,1,1,1,1,0,0,0,0,urban_core,1
282,9,3,1,male,1,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological father,Never,Central area of the city/county,1,1,0,0,0,0,1,low,1,1,1,1,0,0,0,1,urban_core,1
283,9,3,1,male,1,Finished elementary school,Finished elementary school,1,1,1,0,0,0,0,0,Other relative female,Never,Rural area,1,1,1,0,0,0,0,low,1,1,1,1,0,0,0,1,rural,1
285,9,3,1,female,1,Finished elementary school,Finished elementary school,1,1,1,0,0,0,0,0,Biological father,Never,Outskirts of the city/county,1,1,1,0,0,0,0,low,1,1,1,1,0,0,1,1,semi_urban,1
