student_id,class_id,school_id,county_id,gender,sibling_num,mo_edu,fa_edu,sr_w_m,sr_w_f,sr_w_sib,sr_w_grand,sr_w_othre,sr_w_othnon,boarding,grade9,relationshi,frequency,living_area,pr_w_m,pr_w_f,pr_w_sib,pr_w_grand,pr_w_othre,pr_w_othnon,left_behind,freq_binary,mo_edu_level,fa_edu_level,parent_edu,female,urbanicity_level,has_siblings,living_list,standard_living
33,2,1,1,male,0,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,1,l,l,l,0,2.0,0,"['sr_w_m', 'sr_w_f']",1
34,2,1,1,male,0,Junior college,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,1,h,h,h,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
36,2,1,1,female,1,Senior high school,Junior college,1,1,1,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,1,0,0,0,0,0,m,h,h,1,1.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
37,2,1,1,female,0,Junior college,Junior high school,1,1,0,1,0,0,0,0,Biological mother,Once a year,The “rural-urban continuum” area of the city/county,1,1,0,1,0,0,0,0,h,l,h,1,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
38,2,1,1,female,0,Technical secondary school or technical school,Bachelor degree,1,1,0,0,0,0,0,0,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,1,m,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
39,2,1,1,male,1,Technical secondary school or technical school,Technical secondary school or technical school,1,1,1,0,0,0,0,0,Biological father,More than once a week,Central area of the city/county,1,1,1,0,0,0,0,1,m,m,m,0,1.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
41,2,1,1,female,0,Senior high school,Senior high school,1,1,0,0,0,0,0,0,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,1,m,m,m,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
42,2,1,1,female,0,Junior college,Bachelor degree,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,1,h,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
43,2,1,1,male,0,None,None,1,1,0,0,0,0,0,0,Biological mother,Never,Central area of the city/county,1,1,0,0,0,0,0,0,l,l,l,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
44,2,1,1,female,2,Junior high school,Senior high school,1,0,0,0,0,0,0,0,Biological mother,Never,Central area of the city/county,1,0,0,0,0,0,2,0,l,m,m,1,1.0,1,['sr_w_m'],0
45,2,1,1,male,0,Bachelor degree,Master degree or higher,1,1,0,1,0,0,0,0,Biological father,Once every half year,The “rural-urban continuum” area of the city/county,1,1,0,1,0,0,0,1,h,h,h,0,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
47,2,1,1,male,0,Bachelor degree,Technical secondary school or technical school,1,1,0,0,0,0,1,0,Biological mother,Once a month,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,1,h,m,h,0,2.0,0,"['sr_w_m', 'sr_w_f']",1
48,2,1,1,female,0,Technical secondary school or technical school,Junior college,1,1,0,1,0,0,0,0,Biological mother,Once a year,Outskirts of the city/county,1,1,0,1,0,0,0,0,m,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
49,2,1,1,male,0,Technical secondary school or technical school,Senior high school,1,1,0,1,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,1,0,0,0,0,m,m,m,0,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
51,2,1,1,female,0,Senior high school,Senior high school,1,1,0,0,0,0,0,0,Biological father,Once every half year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,1,m,m,m,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
52,2,1,1,female,0,Senior high school,Senior high school,1,1,0,0,0,0,0,0,Biological mother,Once a year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,0,m,m,m,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
53,2,1,1,female,3,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,1,1,l,l,l,1,1.0,1,"['sr_w_m', 'sr_w_f']",1
54,2,1,1,female,0,Technical secondary school or technical school,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,1,m,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
55,2,1,1,female,1,Senior high school,Senior high school,1,1,0,0,0,0,0,0,Biological mother,Once a month,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,1,m,m,m,1,2.0,1,"['sr_w_m', 'sr_w_f']",1
56,2,1,1,female,0,Technical secondary school or technical school,Technical secondary school or technical school,1,1,0,0,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,1,m,m,m,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
57,2,1,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,0,h,h,h,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
60,2,1,1,female,0,Bachelor degree,Bachelor degree,0,1,0,0,0,0,0,0,Biological father,Once a week,Central area of the city/county,0,1,0,0,0,0,0,1,h,h,h,1,1.0,0,['sr_w_f'],0
61,2,1,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,0,Biological mother,Never,Rural area,1,1,1,0,0,0,0,0,l,l,l,1,3.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
63,2,1,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,0,Biological mother,More than once a week,Central area of the city/county,1,1,1,0,0,0,0,1,l,l,l,1,1.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
64,2,1,1,male,0,Bachelor degree,Master degree or higher,1,1,0,1,0,0,0,0,Grandfather on mother's/father's side,Once every half year,Outskirts of the city/county,1,1,0,1,0,0,0,1,h,h,h,0,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
65,2,1,1,female,1,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Once a year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,1,0,l,l,l,1,2.0,1,"['sr_w_m', 'sr_w_f']",1
68,3,1,1,male,0,Junior college,Senior high school,1,1,0,0,0,0,0,1,Biological mother,Once a year,Outskirts of the city/county,1,1,0,0,0,0,0,0,h,m,h,0,2.0,0,"['sr_w_m', 'sr_w_f']",1
70,3,1,1,female,0,Technical secondary school or technical school,Senior high school,1,1,0,0,0,0,0,1,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,1,m,m,m,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
73,3,1,1,female,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,1,Biological mother,Once a year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,0,h,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
74,3,1,1,female,0,Junior college,Bachelor degree,1,1,0,1,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,1,h,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
76,3,1,1,male,0,Junior college,Junior college,1,1,0,0,0,0,0,1,Biological father,Once a year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,0,h,h,h,0,2.0,0,"['sr_w_m', 'sr_w_f']",1
78,3,1,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,1,0,0,0,0,1,l,l,l,1,1.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
80,3,1,1,female,0,Bachelor degree,Senior high school,1,1,0,0,0,0,0,1,Biological mother,Never,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,0,h,m,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
85,3,1,1,female,0,Junior high school,Junior high school,1,1,0,1,0,0,0,1,Biological mother,Once a year,Rural area,1,1,0,1,0,0,0,0,l,l,l,1,3.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
91,3,1,1,female,0,Senior high school,Junior college,1,1,0,0,0,0,0,1,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,1,m,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
92,4,1,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,1,Biological father,Once a month,Outskirts of the city/county,1,1,1,0,0,0,0,1,l,l,l,1,2.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
95,4,1,1,male,0,Bachelor degree,Bachelor degree,1,1,0,1,0,0,0,1,Biological mother,Never,Outskirts of the city/county,1,1,0,1,0,0,0,0,h,h,h,0,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
96,4,1,1,female,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,1,Biological mother,Never,Central area of the city/county,1,1,0,0,0,0,0,0,h,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
97,4,1,1,male,0,Junior high school,Junior high school,1,1,0,0,0,0,0,1,Biological father,Never,Rural area,1,1,0,0,0,0,0,0,l,l,l,0,3.0,0,"['sr_w_m', 'sr_w_f']",1
99,4,1,1,female,0,Senior high school,Senior high school,1,1,0,1,0,0,0,1,Biological father,Once a month,Central area of the city/county,1,1,0,1,0,0,0,1,m,m,m,1,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
100,4,1,1,male,0,Senior high school,Senior high school,1,1,0,0,0,0,0,1,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,1,m,m,m,0,2.0,0,"['sr_w_m', 'sr_w_f']",1
104,4,1,1,male,0,Junior high school,Senior high school,1,1,0,1,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,1,l,m,m,0,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
105,4,1,1,female,0,Junior high school,Bachelor degree,1,1,0,0,0,0,0,1,Biological father,Once a year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,0,l,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
106,4,1,1,female,0,Bachelor degree,Bachelor degree,1,1,0,1,0,0,0,1,Biological father,Never,The “rural-urban continuum” area of the city/county,1,1,0,1,0,0,0,0,h,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
107,4,1,1,female,0,Technical secondary school or technical school,Technical secondary school or technical school,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,1,m,m,m,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
108,4,1,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,1,h,h,h,0,2.0,0,"['sr_w_m', 'sr_w_f']",1
109,4,1,1,male,0,Technical secondary school or technical school,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,1,m,h,h,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
110,4,1,1,male,0,Senior high school,Junior high school,1,1,0,1,0,0,0,1,Biological mother,Once every half year,The “rural-urban continuum” area of the city/county,1,1,0,1,0,0,0,1,m,l,m,0,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
112,4,1,1,male,0,Senior high school,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,0,m,h,h,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
114,4,1,1,female,0,Bachelor degree,Junior college,1,1,0,0,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,1,h,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
115,4,1,1,female,0,Bachelor degree,Master degree or higher,1,1,0,1,0,0,0,1,Biological mother,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,1,h,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
120,5,2,1,female,0,Senior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,1,m,l,m,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
122,5,2,1,male,1,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological father,Once a year,Central area of the city/county,1,1,0,0,0,0,1,0,l,l,l,0,1.0,1,"['sr_w_m', 'sr_w_f']",1
124,5,2,1,male,1,Technical secondary school or technical school,Senior high school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,1,m,m,m,0,1.0,1,"['sr_w_m', 'sr_w_f']",1
125,5,2,1,male,1,Junior high school,Senior high school,1,1,1,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,1,0,0,0,1,0,l,m,m,0,1.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
126,5,2,1,female,0,Bachelor degree,Bachelor degree,1,0,0,1,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,1,0,0,1,0,0,0,1,h,h,h,1,2.0,0,"['sr_w_m', 'sr_w_grand']",0
134,5,2,1,female,0,Senior high school,Master degree or higher,1,1,0,0,0,0,0,0,Biological mother,Once every half year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,1,m,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
136,5,2,1,female,0,Finished elementary school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Never,Outskirts of the city/county,1,1,0,0,0,0,0,0,l,l,l,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
138,5,2,1,female,0,Junior college,Junior college,1,1,0,1,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,1,0,0,0,0,h,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
146,5,2,1,female,0,Technical secondary school or technical school,Junior college,1,1,0,1,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,1,0,1,0,0,0,1,m,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
149,5,2,1,female,0,Bachelor degree,Technical secondary school or technical school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,1,h,m,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
150,5,2,1,female,0,Junior college,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,0,h,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
153,5,2,1,female,0,Master degree or higher,Junior college,1,1,0,1,0,0,0,0,Biological mother,More than once a week,Central area of the city/county,1,1,0,1,0,0,0,1,h,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
154,5,2,1,female,1,Junior college,Technical secondary school or technical school,1,0,0,1,0,0,0,0,Biological mother,Once a year,The “rural-urban continuum” area of the city/county,1,0,0,1,0,0,0,0,h,m,h,1,2.0,1,"['sr_w_m', 'sr_w_grand']",0
155,5,2,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological father,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,1,h,h,h,0,2.0,0,"['sr_w_m', 'sr_w_f']",1
156,5,2,1,male,3,Bachelor degree,Bachelor degree,1,1,0,1,0,0,0,0,Biological mother,Never,Outskirts of the city/county,1,1,0,1,0,0,0,0,h,h,h,0,2.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
157,5,2,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological father,Never,Central area of the city/county,1,1,0,0,0,0,0,0,h,h,h,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
158,5,2,1,female,0,Master degree or higher,Bachelor degree,1,0,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,0,0,0,0,0,0,1,h,h,h,1,1.0,0,['sr_w_m'],0
161,5,2,1,female,0,Junior high school,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,1,l,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
162,6,2,1,female,0,Junior high school,Technical secondary school or technical school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,1,l,m,m,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
163,6,2,1,female,0,Bachelor degree,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,0,1,h,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
165,6,2,1,male,0,Junior college,Junior college,1,1,0,0,0,0,0,0,Biological mother,Never,Central area of the city/county,1,1,0,0,0,0,0,0,h,h,h,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
166,6,2,1,female,2,Finished elementary school,Finished elementary school,1,1,1,0,0,0,0,0,Biological father,Once a week,The “rural-urban continuum” area of the city/county,1,1,1,0,0,0,0,1,l,l,l,1,2.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
167,6,2,1,male,0,Bachelor degree,Master degree or higher,1,1,0,1,0,0,0,0,Biological father,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,1,h,h,h,0,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
170,6,2,1,male,0,Senior high school,Junior college,1,1,0,1,0,0,0,0,Biological father,Once every half year,Central area of the city/county,1,1,0,1,0,0,0,1,m,h,h,0,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
172,6,2,1,female,0,Bachelor degree,Junior college,1,1,0,0,0,0,0,0,Biological father,Never,Central area of the city/county,1,1,0,0,0,0,0,0,h,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
175,6,2,1,female,0,Senior high school,Technical secondary school or technical school,1,1,0,1,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,1,0,0,0,1,m,m,m,1,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
176,6,2,1,female,5,Junior high school,Junior high school,1,1,1,1,1,0,0,0,Biological mother,Never,The “rural-urban continuum” area of the city/county,1,1,1,1,1,0,0,0,l,l,l,1,2.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib', 'sr_w_grand', 'sr_w_othre']",0
177,6,2,1,male,0,Junior college,Bachelor degree,1,1,0,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,0,h,h,h,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
178,6,2,1,female,0,Junior college,Technical secondary school or technical school,1,1,0,0,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,1,h,m,h,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
179,6,2,1,male,2,Junior high school,Junior college,1,1,1,0,0,0,0,0,Biological mother,Never,Central area of the city/county,1,1,1,0,0,0,0,0,l,h,h,0,1.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
181,6,2,1,female,1,Junior high school,Junior high school,1,1,1,0,1,0,0,0,Biological father,Once a year,Central area of the city/county,1,1,1,0,1,0,0,0,l,l,l,1,1.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib', 'sr_w_othre']",0
182,6,2,1,male,1,Senior high school,Junior college,1,1,1,0,0,0,0,0,Biological mother,More than once a week,Outskirts of the city/county,1,1,1,0,0,0,0,1,m,h,h,0,2.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
184,6,2,1,female,0,Bachelor degree,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,1,h,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
185,6,2,1,female,0,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,More than once a week,Central area of the city/county,1,1,0,0,0,0,0,1,l,l,l,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
186,6,2,1,female,0,Bachelor degree,Master degree or higher,1,1,0,0,0,0,0,0,Biological father,Once a month,Central area of the city/county,1,1,0,0,0,0,0,1,h,h,h,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
187,6,2,1,male,1,Master degree or higher,Master degree or higher,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,1,h,h,h,0,1.0,1,"['sr_w_m', 'sr_w_f']",1
188,6,2,1,female,0,Junior high school,Technical secondary school or technical school,1,1,0,1,0,0,0,0,Biological father,Once a year,The “rural-urban continuum” area of the city/county,1,1,0,1,0,0,0,0,l,m,m,1,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
189,6,2,1,male,0,Bachelor degree,Senior high school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,1,h,m,h,0,2.0,0,"['sr_w_m', 'sr_w_f']",1
190,6,2,1,female,0,Senior high school,Senior high school,1,1,0,0,0,0,0,0,Biological father,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,1,m,m,m,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
194,6,2,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,0,Biological mother,Never,Central area of the city/county,1,1,1,0,0,0,0,0,l,l,l,1,1.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
196,6,2,1,male,0,Technical secondary school or technical school,Technical secondary school or technical school,1,1,0,0,0,0,0,0,Biological mother,Once a month,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,1,m,m,m,0,2.0,0,"['sr_w_m', 'sr_w_f']",1
